Tenant,program name,stage name,stage order,status,task name,task order,timeEstimate,description,Action 1,Action 2,desiredoutcomes,timeExpectations
Super Life Group,New Agent School,Week 1 Onboarding,1,Published,Start Here: Your Week 1 Launch Pad,1,About 10 minutes,Get ready for training with this interactive video.,Complete Your Profile,Watch Now,,
Super Life Group,New Agent School,Week 1 Onboarding,1,Published,Enroll in pre-licensing course,2,About 10 minutes,Select a course provider and enroll in your course.,Enroll Now,,,
Super Life Group,New Agent School,Week 1 Onboarding,1,Published,Schedule your state exam,3,About 10 minutes,Pick your exam date and get it on the calendar now.,Schedule Exam,,,
Super Life Group,New Agent School,Week 1 Onboarding,1,Published,Money. Wealth. Life Insurance.,4,About 45 minutes,"Read the first three chapters of Money, Wealth, and Life Insurance.",Get the Quick Notes,,,
Super Life Group,New Agent School,Week 1 Onboarding,1,Published,Attend Orientation,5,90 minutes,Save your spot for orientation and get it on the calendar now.,Schedule Orientation,,,
Super Life Group,New Agent School,Week 1 Onboarding,1,Published,Schedule Week 2 Coaching,6,About 5 minutes,Book an hour with your trainer to launch Week 2.,Schedule Coaching,,,
Super Life Group,New Agent School,Week 2 Onboarding,2,Published,Start Week 2: Learn the 3-3-60 Game Plan,1,About 10 minutes,Understand how to grow your agency fast with business partners.,Complete Your Snapshot,Watch Now,,
Super Life Group,New Agent School,Week 2 Onboarding,2,Published,Build your Fantasy Team,2,About 5 minutes,Think of the top people you would love to win with.,Add Your Dream Team,,,
Super Life Group,New Agent School,Week 2 Onboarding,2,Published,Expand your list with memory joggers,3,About 30 minutes,Use joggers to add 10-20 names now. You'll need 100-200 to start Week 3.,Download the App,,,
Super Life Group,New Agent School,Week 2 Onboarding,2,Published,Pass Your State Exam,4,About 2 hours,Aim to pass within 24 hours of finishing your coursework.,Pass Your Exam,,,
Super Life Group,New Agent School,Week 2 Onboarding,2,Published,Schedule Week 3 Coaching,5,About 5 minutes,Book an hour with your trainer to launch Week 3.,Schedule Coaching,,,
